researcher_name,obrss_name,correct_match,publication_channel,best_match_score,fuzz_ratio,fuzz_partial_ratio,fuzz_token_sort_ratio,kmpMatch,BM_badCharMatch,rabinKarpMatch
Personal and Ubiquitous Computing ,International Conference on Computers for Handicapped Persons,no,Other,-1,40,50,38,0,0,0
Multimedia Systems ,Distributed Multimedia Systems,no,Other,0.047712125,73,97,75,0,0,0
International Journal on Artificial Intelligence Tools ,International Conference on Tools with Artificial Intelligence,no,Journal,0.291904762,75,67,79,0,0,0
Journal of Parallel and Distributed Computing ,Journal of Computers,no,Journal,-0.027643459,52,60,55,0,0,0
ACM Transactions on Multimedia Computing Communications and Applications ,Computers and translation,no,Journal,-0.164713956,37,56,45,0,0,0
ARCS Workshops ARCS  ,EvoWorkshops,no,Workshop,-1,55,75,58,0,0,0
GeoInformatica ,Informatica,no,Other,-1,85,100,88,1,1,1
Proceedings IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,International Conference on Parallel and Distributed Systems,no,Conference,-0.018190745,59,72,62,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,International Journal of Design,no,Journal,-0.102802872,37,55,40,0,0,0
Expert Systems ,Database and Expert Systems Applications,no,Other,0.023299,55,100,52,0,0,0
Artificial Intelligence Review ,Artificial Intelligence Review,yes,Journal,0.203342376,98,100,100,1,1,1
International Journal of Geographical Information Science ,Journal of Computer Science,no,Journal,0.055518208,52,56,60,0,0,0
International Journal of Data Warehousing and Mining ,Mining,no,Journal,-0.169019608,20,100,21,1,1,1
Language Resources and Evaluation ,Validation,no,Other,-1,32,70,37,0,0,0
International Journal of Geographical Information Science ,Informatica,no,Journal,-1,29,82,29,0,0,0
Neural Computing and Applications ,Applications,no,Other,-0.060205999,52,100,53,1,1,1
Cooperative Information Agents ,Cooperative Information Agents,yes,Other,0.127986791,98,100,100,1,1,1
International Conference on Intelligent User Interfaces Proceedings IUI ,iConference,no,Conference,-1,27,91,24,0,0,0
IEEE Transactions on Services Computing ,IEEE Transactions on Network and Service Management,no,Journal,0.067009999,68,70,67,0,0,0
International Journal of Data Warehousing and Mining ,International Journal of Data Warehousing and Mining,yes,Journal,0.483462296,99,100,100,1,1,1
International Journal of Multimedia and Ubiquitous Engineering ,Bioengineering,no,Journal,-1,34,71,29,0,0,0
Journal of Intelligent Information Systems ,Information Systems Journal,no,Journal,0.081388791,57,85,78,0,0,0
Artificial Intelligence in Medicine ,Inteligencia Artificial,no,Other,0.030103,51,65,76,0,0,0
International Journal of Web Engineering and Technology ,Journal of Web Engineering,no,Journal,0.192954404,63,100,64,1,1,1
Computers in Entertainment ,Advances in Computers,no,Other,0.031808084,38,43,51,0,0,0
GeoInformatica ,e-Informatica,no,Other,-1,86,92,89,0,0,0
Proceedings of the  Conference in Games and Virtual Worlds for Serious Applications VSGAMES  ,International Conference on Games and Virtual Worlds for Serious Applications,yes,Conference,0.469069893,78,86,80,0,0,0
Journal on Multimodal User Interfaces ,Australasian User Interface Conference,no,Journal,-0.066666667,58,58,43,0,0,0
Computational Intelligence ,Computational Intelligence,yes,Other,0.067780792,98,100,100,1,1,1
Expert Systems ,Expert Systems,yes,Other,0.040137333,97,100,100,1,1,1
Proceedings of the VLDB Endowment ,Proceedings of the VLDB Endowment,yes,Conference,0.272125251,99,100,100,1,1,1
Mathematics of Computation ,Mathematics of Computation,yes,Other,0.127986791,98,100,100,1,1,1
GeoInformatica ,Informatica,no,Other,-1,85,100,88,1,1,1
Proceedings of the  Workshop on Algorithm Engineering and Experiments and the  Workshop on Analytic Algorithms and Combinatorics ,Algorithm Engineering and Experimentation,yes,Conference,-0.128187505,48,93,46,0,0,0
 IEEE International Conference on Mobile Data Management ,International Conference on Mobile Data Management,yes,Conference,0.324649858,93,100,95,1,1,1
ACM Transactions on Design Automation of Electronic Systems ,ACM Transactions on Design Automation of Electronic Systems,yes,Journal,0.527096749,99,100,100,1,1,1
Information Fusion ,Informatica,no,Other,-1,60,82,62,0,0,0
Journal of Intelligent Information Systems ,Australian Journal of Intelligent Information Processing Systems,no,Journal,0.30716639,79,86,79,0,0,0
Knowledge and Information Systems ,Information Systems,no,Other,0,72,100,73,1,1,1
Proceedings of the  Conference in Games and Virtual Worlds for Serious Applications VSGAMES  ,Serious Games Development and Applications,no,Conference,-0.13395856,40,48,52,0,0,0
Algorithm Theory Ã¢â‚¬â€œ SWAT  ,Workshops,no,Other,-1,22,33,33,0,0,0
Proceedings  IEEE International Parallel and Distributed Processing Symposium IPDPS  ,International Parallel and Distributed Processing Symposium,yes,Conference,0.215836249,82,100,84,1,1,1
Proceedings of the  International AAAI Conference on Web and Social Media ICWSM  ,International AAAI Conference on Web and Social Media,yes,Conference,0.430266497,79,100,81,1,1,1
 IEEE International Conference on Mobile Data Management ,iConference,no,Conference,-1,32,91,30,0,0,0
WWW  Companion Proceedings of the  International Conference on World Wide Web ,Australian World Wide Web Conference,no,Conference,0.037626371,40,56,52,0,0,0
International Journal of Computer Games Technology ,Journal of Computing and Information Technology,no,Journal,0.072699873,63,74,78,0,0,0
International Journal of Parallel Emergent and Distributed Systems ,"International Journal of Parallel, Emergent and Distributed Systems",yes,Journal,0.57415733,99,99,100,0,0,0
International Journal on Artificial Intelligence Tools ,Inteligencia Artificial,no,Journal,-0.033513168,46,61,60,0,0,0
Artificial Intelligence in Medicine ,European Society for Artificial Intelligence in Medicine,yes,Other,0.228169935,76,99,77,0,0,0
ACM Transactions on Algorithms ,Algorithmica,no,Journal,-1,42,78,48,0,0,0
Software Practice and Experience ,Information Security Practice and Experience,no,Other,0.073127334,70,80,68,0,0,0
International Journal of Human Computer Studies ,Conference of the Australian Computer-Human Interaction,no,Journal,0.038432249,47,50,61,0,0,0
Journal of Systems Architecture ,Architecture of Computing Systems,no,Journal,0.080274666,40,41,84,0,0,0
Computational Intelligence ,Computational Intelligence and Security,no,Other,0.069897,82,100,80,0,0,0
IEEE Intelligent Systems ,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,no,Other,-0.03631604,40,60,44,0,0,0
Educational Data Mining ,IEEE International Conference on Data Mining,no,Other,-0.015904042,59,64,60,0,0,0
Expert Systems ,International Workshop on Database and Expert Systems Appli,no,Other,-0.056795831,41,100,38,0,0,0
Journal of Parallel and Distributed Computing ,International Journal of Parallel and Distributed Systems and Networks,no,Journal,0.217609126,67,83,64,0,0,0
International Journal of Ambient Computing and Intelligence ,International Journal of Intelligent Systems,no,Journal,0.074767935,69,70,68,0,0,0
Journal on Multimodal User Interfaces ,Australasian User Interface Conference,no,Journal,-0.066666667,58,58,43,0,0,0
IEEE Transactions on Services Computing ,Services,no,Journal,-0.093196001,33,100,34,1,1,1
WWW  Companion Proceedings of the  International Conference on World Wide Web ,International World Wide Web Conference,yes,Conference,0.14904046,50,64,68,0,0,0
Computer Networks ,Computer Networks,yes,Other,0.040137333,97,100,100,1,1,1
Information Fusion ,Information Fusion and Geographical Information Systems,no,Other,0.044301957,51,100,49,0,0,0
IEEE Transactions on Services Computing ,IEEE Transactions on Services Computing,yes,Journal,0.232990001,99,100,100,1,1,1
Annual ACM Symposium on Parallelism in Algorithms and Architectures ,Architectures,no,Conference,-0.254464669,32,100,32,1,1,1
 International World Wide Web Conference WWW  ,International World Wide Web Conference,yes,Conference,0.331380622,92,100,95,1,1,1
Journal of Complex Networks ,International Journal of Network Security,no,Journal,0.057746459,55,68,62,0,0,0
HT  Proceedings of the  ACM Conference on Hypertext and Social Media ,ACM Conference on Hypertext and Hypermedia,yes,Conference,0.025166838,65,81,65,0,0,0
Personal and Ubiquitous Computing ,Personal and Ubiquitous Computing,yes,Other,0.160549331,99,100,100,1,1,1
International journal of neural systems ,Systems,no,Journal,-0.093196001,26,86,30,0,0,0
Journal on Multimodal User Interfaces ,Journal on Multimodal User Interfaces,yes,Journal,0.272125251,99,100,100,1,1,1
Natural Language Engineering ,Natural Language Engineering,yes,Other,0.164207126,98,100,100,1,1,1
International Journal on Artificial Intelligence Tools ,International Journal on Artificial Intelligence Tools,yes,Journal,0.441903003,99,100,100,1,1,1
Journal of Ambient Intelligence and Smart Environments ,International Journal of Ambient Computing and Intelligence,no,Journal,0.25082652,54,62,69,0,0,0
Information Visualization ,Information Visualization,yes,Other,0.040137333,98,100,100,1,1,1
International Journal of Human Computer Studies ,International Journal of Human-Computer Studies,yes,Journal,0.352819793,97,98,100,0,0,0
Int J Intell Games Simulation ,International Journal of Intelligent Games & Simulation,yes,Other,-0.061567751,68,77,68,0,0,0
Computational Intelligence ,International Joint Conference on Computational Intelligence,no,Other,0.038432249,60,98,60,0,0,0
International Journal of Geographical Information Science ,International Journal of Geographical Information Science,yes,Journal,0.396454247,99,100,100,1,1,1
Proceedings of the  Workshop on Algorithm Engineering and Experiments and the  Workshop on Analytic Algorithms and Combinatorics ,ACM Journal of Experimental Algorithmics,no,Conference,-0.277241736,38,50,39,0,0,0
International Journal of Web Engineering and Technology ,WEB,no,Journal,-0.148950942,7,33,10,0,0,0
Journal on Multimodal User Interfaces ,Journal on Multimodal User Interfaces,yes,Journal,0.272125251,99,100,100,1,1,1
International Journal of Multimedia and Ubiquitous Engineering ,FTRA International Conference on Multimedia and Ubiquitous Engineering,no,Journal,0.194714632,86,87,80,0,0,0
Concurrency Computation Practice and Experience ,Software: Practice and Experience,no,Other,0.053745332,67,79,58,0,0,0
ACM Transactions on Multimedia Computing Communications and Applications ,Communication,no,Journal,-1,30,100,31,1,1,1
Proceedings IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,International Symposium on Parallel and Distributed Processing and Applications,no,Conference,0.202587919,65,67,75,0,0,0
International Conference on Information and Knowledge Management Proceedings ,Informatica,no,Conference,-1,23,82,23,0,0,0
Web and Wireless Geographical Information Systems ,Informatica,no,Other,-1,30,82,30,0,0,0
Information Visualization ,Visualization and Information Security Management,no,Other,0.02857775,43,62,68,0,0,0
Journal on Multimodal User Interfaces ,Intelligent User Interfaces,no,Journal,-0.013855626,62,67,47,0,0,0
International Journal of Ambient Computing and Intelligence ,Journal of Ambient Intelligence and Smart Environments,no,Journal,0.261503268,56,64,69,0,0,0
Computers in Entertainment ,Artificial Intelligence and Interactive Digital Entertainment,no,Other,-0.1037535,43,68,44,0,0,0
Neural Computing and Applications ,Neural Computing and Applications,yes,Other,0.160549331,99,100,100,1,1,1
GeoInformatica ,Informatica,no,Other,-1,85,100,88,1,1,1
International Journal of Communication Networks and Distributed Systems ,Communication,no,Journal,-0.210720997,31,100,31,1,1,1
GeoInformatica ,Symposium on Bioinformatics,no,Other,-1,48,69,54,0,0,0
International Journal of Human Computer Studies ,International Journal of Mobile Human Computer Interaction,no,Journal,0.267359361,79,83,76,0,0,0
WWW  Companion Proceedings of the  International Conference on World Wide Web ,Computation,no,Conference,-1,22,73,23,0,0,0
Neural Computing and Applications ,Natural Computing,no,Other,-0.050171666,59,88,60,0,0,0
Journal of Complex Networks ,Simplifying Complex Networks for Practitioners,no,Journal,-0.016838333,54,71,60,0,0,0
International Journal of Geographical Information Science ,Journal of Computer Science,no,Journal,0.055518208,52,56,60,0,0,0
Knowledge and Information Systems ,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,no,Other,0.077224166,52,62,53,0,0,0
  International Conference on Quality of Multimedia Experience QoMEX  ,iConference,no,Conference,-1,27,91,26,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,Design Automation Conference,no,Journal,-0.104507956,57,79,48,0,0,0
Multimedia Tools and Applications ,"Workshop on Language Descriptions, Tools and Applications",no,Other,0.04718565,57,75,58,0,0,0
  International Conference on Quality of Multimedia Experience QoMEX  ,Quality of Multimedia Experience,yes,Conference,0.040137333,63,100,65,1,1,1
Journal on Multimodal User Interfaces ,Journal on Multimodal User Interfaces,yes,Journal,0.272125251,99,100,100,1,1,1
Interacting with Computers ,Conference on Human-Computer Interaction with Mobile Devices and Services,no,Other,-0.130573821,40,70,51,0,0,0
Mobile Information Systems ,Security and Privacy in Mobile Information and Communication Systems,no,Other,0.041842417,55,74,55,0,0,0
IEEE International Workshop on Modeling Analysis and Simulation of Computer and Telecommunication Systems Proceedings ,Telecommunication  Systems,no,Conference,-0.37007528,35,96,35,0,0,0
Proceedings IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,International Parallel and Distributed Processing Symposium,yes,Conference,0.215836249,82,100,84,1,1,1
Journal of Systems Architecture ,International Journal of High Performance Systems Architecture,no,Journal,0.178684932,66,76,67,0,0,0
Interacting with Computers ,International Conference on Human Computer Interaction,no,Other,-1,49,56,55,0,0,0
Personal and Ubiquitous Computing ,International Journal of Ad Hoc and Ubiquitous Computing,no,Other,0.015149585,69,78,70,0,0,0
IEEE Transactions on Services Computing ,IEEE International Conference on Services Computing,no,Journal,0.13233125,75,68,58,0,0,0
International Journal of Ambient Computing and Intelligence ,International Journal of Ambient Computing and Intelligence,yes,Journal,0.483462296,99,100,100,1,1,1
Evolving Systems ,Evolving Systems,yes,Other,0.040137333,97,100,100,1,1,1
ACM Transactions on Knowledge Discovery from Data ,IEEE Transactions on Knowledge & Data Engineering,no,Journal,0.080046685,67,67,73,0,0,0
Educational Data Mining ,Data Mining in Bioinformatics,no,Other,0.024233291,45,50,58,0,0,0
ACM Transactions on Sensor Networks ,ACM Transactions on Algorithms,no,Journal,0.063436333,73,77,71,0,0,0
International Journal on Artificial Intelligence Tools ,Artificial Intelligence,no,Journal,-0.003410168,59,100,60,1,1,1
Artificial Intelligence Review ,Revue d'Intelligence Artificielle,no,Journal,0.129691875,50,52,86,0,0,0
International Conference on Information and Knowledge Management Proceedings ,International Conference on Information and Knowledge Management,yes,Conference,0.40791054,91,100,91,1,1,1
ARCS Workshops ARCS  ,Workshop On Computer Architecture Education,no,Workshop,-1,38,52,48,0,0,0
International Journal on Artificial Intelligence Tools ,International Conference on Artificial Intelligence,no,Journal,0.187039858,83,86,76,0,0,0
Journal of Ambient Intelligence and Smart Environments ,Journal of Ambient Intelligence and Humanized Computing,no,Journal,0.25082652,78,78,73,0,0,0
Interacting with Computers ,Workshop on Interaction between Compilers and Computer Architectures,no,Other,-1,48,67,47,0,0,0
Int J Intell Games Simulation ,International Journal of Computer Games Technology,no,Other,-0.166846501,42,44,46,0,0,0
International journal of neural systems ,International Journal of Neural Systems,yes,Journal,0.272125251,91,92,100,0,0,0
Computer Networks ,Computer Networks,yes,Other,0.040137333,97,100,100,1,1,1
International Journal of Communication Networks and Distributed Systems ,International Journal of Communication Systems,no,Journal,0.181816252,78,87,79,0,0,0
ACM Inroads ,SIGCSE Bulletin Inroads,no,Other,-0.010034333,51,70,47,0,0,0
International Journal of Ambient Computing and Intelligence ,Journal of Computers,no,Journal,-0.064739632,45,65,48,0,0,0
GeoInformatica ,Geoinformatica,yes,Other,0.020068666,90,93,100,0,0,0
International Conference on Information and Knowledge Management Proceedings ,"Management""",no,Conference,-0.190652331,23,91,23,0,0,0
International Journal of Data Warehousing and Mining ,International Journal of Data Mining and Bioinformatics,no,Journal,0.323400736,76,77,75,0,0,0
Journal of Intelligent Information Systems ,Australian Journal of Intelligent Information Processing Systems,no,Journal,0.30716639,79,86,79,0,0,0
Proceedings IEEE International Conference on Data Mining ICDM ,IEEE International Conference on Data Engineering,no,Conference,0.154294175,77,88,71,0,0,0
The Web Conference  Proceedings of the World Wide Web Conference WWW  ,International World Wide Web Conference,yes,Conference,0.151799973,59,74,60,0,0,0
Information Switzerland ,Information (Switzerland),yes,Other,0.067780792,94,96,100,0,0,0
Computers in Entertainment ,Entertainment Computing,no,Other,-0.02177375,56,61,82,0,0,0
Multimedia Tools and Applications ,Multimedia Tools and Applications,yes,Other,0.160549331,99,100,100,1,1,1
Journal of Complex Networks ,Journal of Complex Networks,yes,Journal,0.196769666,98,100,100,1,1,1
International Journal of Geographical Information Science ,International Journal of Geographical Information Science,yes,Journal,0.396454247,99,100,100,1,1,1
Artificial Intellingence Review ,Inteligencia Artificial,no,Journal,0.008329249,44,55,81,0,0,0
International Journal on Artificial Intelligence Tools ,International Conference on Tools with Artificial Intelligence,no,Journal,0.291904762,75,67,79,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,Design,no,Journal,-0.190652331,18,100,18,1,1,1
Information Fusion ,Informatica,no,Other,-1,60,82,62,0,0,0
ICASSP IEEE International Conference on Acoustics Speech and Signal Processing Proceedings ,iConference,no,Conference,-1,22,91,22,0,0,0
International Journal of Human Computer Studies ,International Journal of Human-Computer Studies,yes,Journal,0.352819793,97,98,100,0,0,0
GeoInformatica ,Geoinformatica,yes,Other,0.020068666,90,93,100,0,0,0
Multimedia Tools and Applications ,Multimedia Systems,no,Other,-0.050171666,54,67,51,0,0,0
FLAIRS  Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference ,The Journal of Artificial Intelligence Research,no,Conference,0.164362348,53,83,56,0,0,0
International Journal of Computer Games Technology ,Journal of Computers,no,Journal,0.014198958,56,95,57,0,0,0
Mathematics of Computation ,Computation,no,Other,-0.031808084,58,100,59,1,1,1
Proceedings of the  IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,Journal of Parallel and Distributed Computing,no,Conference,-0.078435138,51,76,48,0,0,0
ACM Transactions on Multimedia Computing Communications and Applications ,Communications and Multimedia Security,no,Journal,-0.050171666,45,63,60,0,0,0
IEEE Transactions on Parallel and Distributed Systems ,Conference on Distributed and Parallel Embedded Systems,no,Journal,0.169019608,53,54,72,0,0,0
ACM Transactions on Knowledge Discovery from Data ,Data Mining and Knowledge Discovery,no,Journal,-0.019483738,61,74,71,0,0,0
IEEE Transactions on Services Computing ,IEEE Transactions on Services Computing,yes,Journal,0.232990001,99,100,100,1,1,1
 Proceedings of the  Workshop on Algorithm Engineering and Experiments ALENEX  ,Algorithm Engineering and Experimentation,yes,Conference,-0.063504126,60,88,66,0,0,0
Annual ACM Symposium on Parallelism in Algorithms and Architectures ,International Symposium on Computer Architecture,no,Conference,-0.112442418,57,50,50,0,0,0
Journal of Location Based Services ,Journal of Location Based Services,yes,Journal,0.272125251,99,100,100,1,1,1
International Journal of Geographical Information Science ,International Conference on Geographic Information Science,no,Journal,0.058571429,86,86,82,0,0,0
Personal and Ubiquitous Computing ,Embedded and Ubiquitous Computing,no,Other,0.080274666,78,79,79,0,0,0
Multimedia Tools and Applications ,ACM Transactions on Multimedia Computing Communications and Applications,no,Other,0.010034333,58,66,59,0,0,0
Computational Intelligence ,International Journal of Computational Intelligence and Applications,no,Other,0.010914447,57,100,55,0,0,0
 International World Wide Web Conference WWW  ,Australian World Wide Web Conference,no,Conference,0.228741247,76,83,63,0,0,0
Proceedings of the  Conference in Games and Virtual Worlds for Serious Applications VSGAMES  ,Computers and Games,no,Conference,-0.323602325,23,53,33,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,ACM Transactions on Design Automation of Electronic Systems,yes,Journal,0.527096749,99,100,100,1,1,1
Journal of Intelligent Information Systems ,International Journal of Intelligent Information and Database Systems,no,Journal,0.293539332,75,84,76,0,0,0
Proceedings of the  Workshop on Algorithm Engineering and Experiments and the  Workshop on Analytic Algorithms and Combinatorics ,International Workshop on Combinatorial Image Analysis,no,Conference,-0.278825678,39,52,46,0,0,0
GeoInformatica ,Symposium on Bioinformatics,no,Other,-1,48,69,54,0,0,0
International Journal of Communication Networks and Distributed Systems ,Journal of Networks,no,Journal,-0.022528207,42,68,42,0,0,0
Journal of Intelligent Information Systems ,Information Systems Journal,no,Journal,0.081388791,57,85,78,0,0,0
Artificial Intelligence Review ,Artificial Intelligence Review,yes,Journal,0.203342376,98,100,100,1,1,1
Annual ACM Symposium on Parallelism in Algorithms and Architectures ,Algorithmica,no,Conference,-1,28,83,30,0,0,0
ACM Transactions on Sensor Networks ,Sensor Networks,no,Journal,-0.029759668,59,100,60,1,1,1
Multimedia Systems ,Virtual Systems and Multimedia,no,Other,0.040137333,45,58,75,0,0,0
Journal of Low Power Electronics ,Journal of Low Power Electronics,yes,Journal,0.313684543,98,100,100,1,1,1
Multimedia Tools and Applications ,Signal Processing and Multimedia Applications,no,Other,0.081045459,58,69,77,0,0,0
Multimedia Tools and Applications ,ACM Transactions on Multimedia Computing Communications and Applications,no,Other,0.010034333,58,66,59,0,0,0
Neural Computing and Applications ,Engineering Applications of Neural Network,no,Other,-0.011559583,50,56,61,0,0,0
International Conference on Information and Knowledge Management Proceedings ,Informatica,no,Conference,-1,23,82,23,0,0,0
Artificial Intellingence Review ,Artificial Intelligence Review,yes,Journal,0.135561584,97,97,98,0,0,0
Natural Language Engineering ,International Conference on Natural Language Processing,no,Other,0.016729012,50,75,60,0,0,0
International Journal of Communication Networks and Distributed Systems ,Journal of Communications and Networks,no,Journal,0.132578877,60,87,70,0,0,0
Language Resources and Evaluation ,Sources,no,Other,-1,29,86,35,0,0,0
Expert Systems ,EGOV-CeDEM-ePart,no,Other,-1,26,27,27,0,0,0
ACM Transactions on Sensor Networks ,ACM Transactions on Graphics,no,Journal,0.053745332,69,75,70,0,0,0
Algorithm Theory Ã¢â‚¬â€œ SWAT  ,Scandinavian Workshop on Algorithm Theory,yes,Other,0.056975665,47,60,61,0,0,0
International Journal of Parallel Emergent and Distributed Systems ,International Journal of Parallel and Distributed Systems and Networks,no,Journal,0.407343503,85,87,84,0,0,0
Computational Intelligence ,Artificial Intelligence and Computational Intelligence,no,Other,0.060205999,64,98,65,0,0,0
Telecommunication Systems ,"Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",no,Other,-0.053581834,49,98,51,0,0,0
GeoInformatica ,Symposium on Bioinformatics,no,Other,-1,48,69,54,0,0,0
Computational Intelligence ,Computational Intelligence and Security,no,Other,0.069897,82,100,80,0,0,0
Artificial Intelligence in Medicine ,International Conference on Artificial Intelligence,no,Other,0.120781007,53,64,67,0,0,0
COMPUTATIONAL INTELLIGENCE  pages ,International Joint Conference on Computational Intelligence,no,Other,0.022528207,19,18,61,0,0,0
 Proceedings of the  Workshop on Algorithm Engineering and Experiments ALENEX  ,ACM Journal of Experimental Algorithmics,no,Conference,-0.228462399,37,48,50,0,0,0
Information Fusion ,Information Fusion and Geographical Information Systems,no,Other,0.044301957,51,100,49,0,0,0
Journal of Systems Architecture ,Architectures,no,Journal,-1,53,92,59,0,0,0
International Journal of Web Engineering and Technology ,International Journal of Web Engineering and Technology,yes,Journal,0.579033527,99,100,100,1,1,1
Mobile Information Systems ,Informatica,no,Other,-1,47,82,49,0,0,0
Multimedia Tools and Applications ,"Workshop on Language Descriptions, Tools and Applications",no,Other,0.04718565,57,75,58,0,0,0
Digital Investigation ,Digital Investigation,yes,Other,0.067780792,98,100,100,1,1,1
International Journal on Artificial Intelligence Tools ,International Conference on Tools with Artificial Intelligence,no,Journal,0.291904762,75,67,79,0,0,0
International Symposium on Spatial Data Handling ,International Symposium on Spatial Data Handling,yes,Conference,0.3112605,99,100,100,1,1,1
HT  Proceedings of the  ACM Conference on Hypertext and Social Media ,iConference,no,Conference,-1,28,91,26,0,0,0
COSN  Proceedings of the  ACM Conference on Online Social Networks ,Workshop on Online Social Networks,yes,Conference,0.010746674,59,79,55,0,0,0
International Journal of Human Computer Studies ,Journal of Human-Robot Interaction,no,Journal,0.09847475,54,65,72,0,0,0
Computers in Entertainment ,Australasian Conference on Interactive Entertainment,no,Other,-0.010625292,51,68,54,0,0,0
IEEE Transactions on Parallel and Distributed Systems ,Distributed and Parallel Databases,no,Journal,-0.012336407,48,53,55,0,0,0
COSN  Proceedings of the  ACM Conference on Online Social Networks ,Social Informatics,no,Conference,-0.268191916,26,56,34,0,0,0
IEEE International Workshop on Modeling Analysis and Simulation of Computer and Telecommunication Systems Proceedings ,"Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",yes,Conference,0.297839333,74,95,77,0,0,0
GeoInformatica ,e-Informatica,no,Other,-1,86,92,89,0,0,0
International Journal of Geographical Information Science ,Journal of Computer Science,no,Journal,0.055518208,52,56,60,0,0,0
Language Resources and Evaluation ,International Conference on Language Resources and Evaluation,yes,Other,0.178684932,69,99,70,0,0,0
Computational Intelligence ,International Journal of Computational Intelligence and Applications,no,Other,0.010914447,57,100,55,0,0,0
Concurrency Computation Practice and Experience ,Concurrency and Computation: Practice & Experience,yes,Other,0.232990001,90,88,100,0,0,0
ACM Transactions on Sensor Networks ,ACM Transactions on Sensor Networks,yes,Journal,0.232990001,99,100,100,1,1,1
GeoInformatica ,Geoinformatica,yes,Other,0.020068666,90,93,100,0,0,0
Web and Wireless Geographical Information Systems ,Informatica,no,Other,-1,30,82,30,0,0,0
International Journal of Human Computer Studies ,International Journal of Technology and Human Interaction,no,Journal,0.163503538,69,65,65,0,0,0
  International Conference on Quality of Multimedia Experience QoMEX  ,Quality of Information Systems,no,Conference,-0.140480665,32,50,40,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,Automation,no,Journal,-0.210720997,29,100,29,1,1,1
ICASSP IEEE International Conference on Acoustics Speech and Signal Processing Proceedings ,"International Conference on Acoustics, Speech and Signal Processing",yes,Conference,0.470018061,84,99,85,0,0,0
International Journal of Geographical Information Science ,International Journal of Geographical Information Science,yes,Journal,0.396454247,99,100,100,1,1,1
ACM Transactions on Algorithms ,ACM Transactions on Computer Systems,no,Journal,0.073127334,75,74,67,0,0,0
Journal on Multimodal User Interfaces ,Australasian User Interface Conference,no,Journal,-0.066666667,58,58,43,0,0,0
Proceedings of the  IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,International Parallel and Distributed Processing Symposium,yes,Conference,0.137695053,78,100,80,1,1,1
 International Conference on Mobile Data Management ,iConference,no,Conference,-1,35,91,33,0,0,0
Virtual Reality ,IEEE Virtual Reality Annual International Symposium,no,Other,0,48,100,45,0,0,0
Interacting with Computers ,Interacting with Computers,yes,Other,0.127986791,98,100,100,1,1,1
The Web Conference  Proceedings of the World Wide Web Conference WWW  ,Australian World Wide Web Conference,no,Conference,0.151799973,55,78,54,0,0,0
Knowledge Engineering Review ,Computing Reviews,no,Journal,-1,48,59,44,0,0,0
International Journal of Computational Intelligence and Applications ,International Journal of Computational Intelligence and Applications,yes,Journal,0.483462296,99,100,100,1,1,1
ACM Transactions on Sensor Networks ,ACM Transactions on Sensor Networks,yes,Journal,0.232990001,99,100,100,1,1,1
Journal of Parallel and Distributed Computing ,Journal of Parallel and Distributed Computing,yes,Journal,0.352819793,99,100,100,1,1,1
Multimedia Tools and Applications ,Multimedia Tools and Applications,yes,Other,0.160549331,99,100,100,1,1,1
Natural Language Engineering ,Bioengineering,no,Other,-1,51,79,52,0,0,0
IEEE Intelligent Systems ,The IEEE Intelligent Informatics Bulletin,no,Other,0.045306762,61,72,58,0,0,0
 IEEE International Symposium on Mixed and Augmented Reality ISMAR  ,International Symposium on Mixed and Augmented Reality,yes,Conference,0.330762918,89,100,91,1,1,1
The Web Conference  Proceedings of the World Wide Web Conference WWW  ,iConference,no,Conference,-1,27,91,26,0,0,0
Proceedings  IEEE International Parallel and Distributed Processing Symposium IPDPS  ,International Conference on Parallel and Distributed Systems,no,Conference,-0.018190745,59,72,62,0,0,0
Proceedings IEEE International Conference on Data Mining ICDM ,IEEE International Conference on Data Mining,yes,Conference,0.251054501,83,100,84,1,1,1
International Journal of Human Computer Studies ,International Journal of Mobile Human Computer Interaction,no,Journal,0.267359361,79,83,76,0,0,0
 International Conference on Mobile Data Management ,International Conference on Management of Data,no,Conference,0.246834733,80,76,94,0,0,0
Artificial Intelligence Review SPEC ISS ,Computing Reviews,no,Journal,-1,39,59,43,0,0,0
Computational Intelligence ,International Joint Conference on Computational Intelligence,no,Other,0.038432249,60,98,60,0,0,0
International Journal on Artificial Intelligence Tools ,Inteligencia Artificial,no,Journal,-0.033513168,46,61,60,0,0,0
ARCS Workshops ARCS  ,Architecture of Computing Systems,yes,Workshop,-1,26,29,35,0,0,0
